mode,method,ratio,direction,clip_spec,raw_tpr_at_1_fpr,clipped_tpr_at_1_fpr,raw_tpr_at_5_fpr,clipped_tpr_at_5_fpr,n_test_human,n_test_llm
random,log_likelihood,0.0,1,"{""lower"": -12.091699752807617}",0.96,0.96,1.0,1.0,100,100
random,log_likelihood,0.05,1,"{""lower"": -12.091699752807617}",0.38,0.38,0.86,0.87,100,100
random,log_likelihood,0.1,1,"{""lower"": -12.091699752807617}",0.41,0.43,0.83,0.87,100,100
random,log_likelihood,0.2,1,"{""lower"": -12.091699752807617}",0.29,0.31,0.66,0.72,100,100
random,log_likelihood,0.3,1,"{""lower"": -12.091699752807617}",0.17,0.19,0.57,0.6,100,100
random,log_likelihood,0.4,1,"{""lower"": -12.091699752807617}",0.12,0.12,0.45,0.48,100,100
random,log_likelihood,0.5,1,"{""lower"": -12.091699752807617}",0.19,0.19,0.44,0.48,100,100
random,rank,0.0,-1,"{""lower"": -72.14999999999986}",0.75,1.0,0.79,1.0,100,100
random,rank,0.05,-1,"{""lower"": -72.14999999999986}",0.31,0.9,0.37,0.98,100,100
random,rank,0.1,-1,"{""lower"": -72.14999999999986}",0.31,0.87,0.38,0.94,100,100
random,rank,0.2,-1,"{""lower"": -72.14999999999986}",0.22,0.65,0.26,0.89,100,100
random,rank,0.3,-1,"{""lower"": -72.14999999999986}",0.16,0.48,0.24,0.72,100,100
random,rank,0.4,-1,"{""lower"": -72.14999999999986}",0.08,0.27,0.12,0.54,100,100
random,rank,0.5,-1,"{""lower"": -72.14999999999986}",0.04,0.27,0.05,0.53,100,100
random,log_rank,0.0,-1,"{""lower"": -6.989335060119629}",1.0,1.0,1.0,1.0,100,100
random,log_rank,0.05,-1,"{""lower"": -6.989335060119629}",0.7,0.72,0.97,0.98,100,100
random,log_rank,0.1,-1,"{""lower"": -6.989335060119629}",0.69,0.71,0.94,0.94,100,100
random,log_rank,0.2,-1,"{""lower"": -6.989335060119629}",0.47,0.47,0.83,0.86,100,100
random,log_rank,0.3,-1,"{""lower"": -6.989335060119629}",0.33,0.34,0.69,0.7,100,100
random,log_rank,0.4,-1,"{""lower"": -6.989335060119629}",0.17,0.17,0.53,0.55,100,100
random,log_rank,0.5,-1,"{""lower"": -6.989335060119629}",0.21,0.23,0.49,0.53,100,100
random,entropy,0.0,-1,"{""lower"": -4.4836684465408325}",0.1,0.1,0.14,0.19,100,100
random,entropy,0.05,-1,"{""lower"": -4.4836684465408325}",0.07,0.07,0.08,0.11,100,100
random,entropy,0.1,-1,"{""lower"": -4.4836684465408325}",0.05,0.05,0.09,0.08,100,100
random,entropy,0.2,-1,"{""lower"": -4.4836684465408325}",0.06,0.06,0.1,0.12,100,100
random,entropy,0.3,-1,"{""lower"": -4.4836684465408325}",0.09,0.09,0.14,0.15,100,100
random,entropy,0.4,-1,"{""lower"": -4.4836684465408325}",0.04,0.05,0.12,0.14,100,100
random,entropy,0.5,-1,"{""lower"": -4.4836684465408325}",0.07,0.08,0.18,0.21,100,100
random,entropy_gap,0.0,-1,"{""nll_upper"": 6.831467008590704}",0.97,0.96,0.97,0.97,100,100
random,entropy_gap,0.05,-1,"{""nll_upper"": 6.831467008590704}",0.95,0.91,0.95,0.96,100,100
random,entropy_gap,0.1,-1,"{""nll_upper"": 6.831467008590704}",0.96,0.91,0.96,0.96,100,100
random,entropy_gap,0.2,-1,"{""nll_upper"": 6.831467008590704}",0.94,0.89,0.96,0.94,100,100
random,entropy_gap,0.3,-1,"{""nll_upper"": 6.831467008590704}",0.88,0.75,0.91,0.88,100,100
random,entropy_gap,0.4,-1,"{""nll_upper"": 6.831467008590704}",0.71,0.58,0.75,0.79,100,100
random,entropy_gap,0.5,-1,"{""nll_upper"": 6.831467008590704}",0.6,0.45,0.68,0.71,100,100
random,binoculars,0.0,-1,{},0.99,0.99,0.99,0.99,100,100
random,binoculars,0.05,-1,{},0.97,0.97,0.97,0.97,100,100
random,binoculars,0.1,-1,{},0.97,0.97,0.97,0.97,100,100
random,binoculars,0.2,-1,{},0.97,0.97,0.97,0.97,100,100
random,binoculars,0.3,-1,{},0.93,0.93,0.93,0.93,100,100
random,binoculars,0.4,-1,{},0.91,0.91,0.92,0.92,100,100
random,binoculars,0.5,-1,{},0.82,0.82,0.84,0.84,100,100
tail,log_likelihood,0.0,1,"{""lower"": -8.480424880981445}",0.96,0.96,1.0,1.0,100,100
tail,log_likelihood,0.05,1,"{""lower"": -8.480424880981445}",0.4,0.43,0.85,0.87,100,100
tail,log_likelihood,0.1,1,"{""lower"": -8.480424880981445}",0.4,0.43,0.85,0.87,100,100
tail,log_likelihood,0.2,1,"{""lower"": -8.480424880981445}",0.23,0.26,0.6,0.61,100,100
tail,log_likelihood,0.3,1,"{""lower"": -8.480424880981445}",0.06,0.08,0.28,0.31,100,100
tail,log_likelihood,0.4,1,"{""lower"": -8.480424880981445}",0.02,0.02,0.13,0.13,100,100
