mode,method,ratio,direction,clip_spec,raw_tpr_at_1_fpr,clipped_tpr_at_1_fpr,raw_tpr_at_5_fpr,clipped_tpr_at_5_fpr,n_test_human,n_test_llm
random,log_likelihood,0.0,1,{},1.0,1.0,1.0,1.0,3,3
random,log_likelihood,0.05,1,{},1.0,1.0,1.0,1.0,3,3
random,log_likelihood,0.1,1,{},1.0,1.0,1.0,1.0,3,3
random,log_likelihood,0.2,1,{},0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,3
random,log_likelihood,0.3,1,{},0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,3
random,log_likelihood,0.4,1,{},0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,3
random,log_likelihood,0.5,1,{},0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,3
random,rank,0.0,-1,"{""lower"": -5062.076}",1.0,1.0,1.0,1.0,3,3
random,rank,0.05,-1,"{""lower"": -5062.076}",1.0,1.0,1.0,1.0,3,3
random,rank,0.1,-1,"{""lower"": -5062.076}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,3
random,rank,0.2,-1,"{""lower"": -5062.076}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,3
random,rank,0.3,-1,"{""lower"": -5062.076}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,3
random,rank,0.4,-1,"{""lower"": -5062.076}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,3
random,rank,0.5,-1,"{""lower"": -5062.076}",0.0,0.0,0.0,0.0,3,3
random,log_rank,0.0,-1,{},1.0,1.0,1.0,1.0,3,3
random,log_rank,0.05,-1,{},1.0,1.0,1.0,1.0,3,3
random,log_rank,0.1,-1,{},1.0,1.0,1.0,1.0,3,3
random,log_rank,0.2,-1,{},1.0,1.0,1.0,1.0,3,3
random,log_rank,0.3,-1,{},0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,3
random,log_rank,0.4,-1,{},0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,3
random,log_rank,0.5,-1,{},0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,3
random,entropy,0.0,-1,{},0.0,0.0,0.0,0.0,3,3
random,entropy,0.05,-1,{},0.0,0.0,0.0,0.0,3,3
random,entropy,0.1,-1,{},0.0,0.0,0.0,0.0,3,3
random,entropy,0.2,-1,{},0.0,0.0,0.0,0.0,3,3
random,entropy,0.3,-1,{},0.0,0.0,0.0,0.0,3,3
random,entropy,0.4,-1,{},0.0,0.0,0.0,0.0,3,3
random,entropy,0.5,-1,{},0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,3
random,entropy_gap,0.0,-1,{},1.0,1.0,1.0,1.0,3,3
random,entropy_gap,0.05,-1,{},1.0,1.0,1.0,1.0,3,3
random,entropy_gap,0.1,-1,{},1.0,1.0,1.0,1.0,3,3
random,entropy_gap,0.2,-1,{},1.0,1.0,1.0,1.0,3,3
random,entropy_gap,0.3,-1,{},1.0,1.0,1.0,1.0,3,3
random,entropy_gap,0.4,-1,{},1.0,1.0,1.0,1.0,3,3
random,entropy_gap,0.5,-1,{},1.0,1.0,1.0,1.0,3,3
random,binoculars,0.0,-1,{},1.0,1.0,1.0,1.0,3,3
random,binoculars,0.05,-1,{},1.0,1.0,1.0,1.0,3,3
random,binoculars,0.1,-1,{},1.0,1.0,1.0,1.0,3,3
random,binoculars,0.2,-1,{},1.0,1.0,1.0,1.0,3,3
random,binoculars,0.3,-1,{},1.0,1.0,1.0,1.0,3,3
random,binoculars,0.4,-1,{},1.0,1.0,1.0,1.0,3,3
random,binoculars,0.5,-1,{},1.0,1.0,1.0,1.0,3,3
tail,log_likelihood,0.0,1,{},1.0,1.0,1.0,1.0,3,3
tail,log_likelihood,0.05,1,{},1.0,1.0,1.0,1.0,3,3
tail,log_likelihood,0.1,1,{},1.0,1.0,1.0,1.0,3,3
tail,log_likelihood,0.2,1,{},0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,3
tail,log_likelihood,0.3,1,{},0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,3
tail,log_likelihood,0.4,1,{},0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,3
tail,log_likelihood,0.5,1,{},0.0,0.0,0.0,0.0,3,3
tail,rank,0.0,-1,"{""lower"": -1316.77}",1.0,1.0,1.0,1.0,3,3
tail,rank,0.05,-1,"{""lower"": -1316.77}",0.6666666666666666,1.0,0.6666666666666666,1.0,3,3
tail,rank,0.1,-1,"{""lower"": -1316.77}",0.6666666666666666,1.0,0.6666666666666666,1.0,3,3
tail,rank,0.2,-1,"{""lower"": -1316.77}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,3
tail,rank,0.3,-1,"{""lower"": -1316.77}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,3
tail,rank,0.4,-1,"{""lower"": -1316.77}",0.0,0.3333333333333333,0.0,0.3333333333333333,3,3
tail,rank,0.5,-1,"{""lower"": -1316.77}",0.0,0.0,0.0,0.0,3,3
